Plot,Subplot,Species,DBH
A1,C,SM,24.1
A1,C,BG,7.7
A1,C,SM,14
A1,C,WA,4.6
A1,C,BG,5.5
A1,C,SM,20.2
A1,C,BG,7.3
A1,C,BG,19.1
A1,C,SH,16.7
A1,C,WA,11
A1,C,BB,13.8
A1,C,VP,4
A1,C,VP,3.3
A1,C,WA,5.3
A1,C,BB,6.6
A1,C,WA,32.2
A1,C,BG,7.1
A1,C,WA,4.7
A1,C,BB,7.7
A1,C,BG,6.2
A1,C,BG,3.1
A1,C,BG,7
A1,C,BG,9.3
A1,C,BG,5.9
A1,C,BG,10
A1,C,BG,5.1
A1,C,BG,6.6
A1,C,SM,5.1
A1,C,SM,7.5
A1,C,SM,4.5
A1,C,BG,5.1
A1,C,SM,10.5
A1,C,BG,5.2
A1,C,SM,5.2
A1,C,RM,7.4
A1,C,RM,14.4
A1,C,RM,9
A1,C,SM,13.2
A1,C,RM,14.2
A1,C,BG,3
A1,C,BG,5.9
A1,C,SM,5.3
A1,C,SM,12.3
A1,C,BG,20.5
A1,C,SM,5.3
A1,C,SM,3.3
A1,C,SM,32
A1,C,WA,34.6
A1,C,BG,6.5
A1,C,SA,22.8
A1,C,BG,8
A1,C,HH,5.3
A1,C,BG,4.5
A1,C,BG,10.1
A1,C,HH,3.1
A1,C,BG,17.7
A1,C,BG,5.3
A1,C,SM,11.7
A1,C,BG,2.7
A1,C,SM,7.9
A1,C,SM,5.5
A1,C,SM,26.9
A1,C,SM,24.3
A2,C,BG,6.6
A2,C,BG,12.2
A2,C,BG,4.9
A2,C,RM,3.1
A2,C,RM,9.3
A2,C,SM,2.9
A2,C,BB,2.6
A2,C,BG,3.1
A2,C,BB,4.7
A2,C,BG,7.5
A2,C,BG,3.3
A2,C,RM,3.1
A2,C,BB,6.7
A2,C,RM,4.8
A2,C,BG,4.1
A2,C,BG,9.5
A2,C,BG,4.5
A2,C,BG,8.3
A2,C,BB,5.5
A2,C,BB,5.3
A2,C,BB,5.5
A2,C,BG,10.8
A2,C,BG,5.3
A2,C,BG,4.5
A2,C,BG,4.9
A2,C,BB,4.5
A2,C,BG,na
A2,C,BB,2.8
A2,C,SM,3.6
A2,C,BB,9.2
A2,C,RM,4
A2,C,RM,3.4
A2,C,BG,4.4
A2,C,RM,4.7
A2,C,BB,9.2
A2,C,BG,3.4
A2,C,BB,3.9
A2,C,SM,6.2
A2,C,BG,5.2
A2,C,SM,6.3
A2,C,SM,3.6
A2,C,SM,16
A2,C,BG,3.6
A2,C,SM,3.5
A2,C,SM,3.2
A2,C,SM,3
A2,C,SM,na
A2,C,BG,2.6
A2,C,RM,6.2
A2,C,RM,5
A2,C,RM,9.7
A2,C,RM,8.5
A2,C,BB,6.2
