Plot,Subplot,Species,DBH
A1,SW,RO,49.7
A1,SW,WO,54.6
A1,SW,RO,55.8
A1,SW,RO,55
A1,S,RO,51.8
A1,S,RO,69.9
A1,S,RO,65.7
A1,SE,RO,33.9
A1,SE,RO,57.6
A1,E,RO,70.3
A1,S,RO,52.3
A1,S,RO,47
A1,S,RO,49.3
A1,S,RO,57.8
A1,C,RO,60.8
A1,SW,WO,55.5
A1,SW,RO,56.6
A1,W,RO,58.8
A1,E,RO,55.5
A1,E,RO,52.1
A1,E,RO,39.2
A1,C,RO,56.5
A1,E,WO,54.2
A1,E,RO,55.2
A1,NE,RO,57.6
A1,NE,RO,52.4
A1,NE,RO,64.7
A1,N,RO,44.3
A1,N,WO,43.3
A1,N,RO,40.9
A1,C,WO,38.6
A1,W,WO,49.3
A1,W,RO,45.7
A1,W,RO,31.8
A1,W,WO,61.2
A1,NW,WO,68.6
A1,N,RO,59.3
A1,N,RO,48.5
A1,N,RO,28.7
A1,N,CO,30.1
A1,NE,RO,43.5
A1,NE,WO,38.6
A1,E,RO,56.3
A1,NE,RO,30
A1,NE,RO,79.5
A1,N,WO,50.9
A1,NE,WO,53.4
A1,NW,RO,61
A1,NW,RO,51.6
A1,NW,RO,49.3
A1,NW,WO,46.3
A1,NW,WO,46.5
A1,W,CO,51.5
A1,SW,RO,58.7
A1,SW,RO,51.8
A1,SW,BO,55.2
A1,E,RO,50.9
A2,NW,RO,60.7
A2,NW,RO,58
A2,NW,RO,55.7
A2,NW,RO,47.7
A2,N,CO,38.1
A2,N,RO,63.8
A2,N,WO,32.3
A2,N,WO,27.4
A2,NE,RO,44.6
A2,NE,CO,47
A2,NE,RO,56.7
A2,NE,WO,22
A2,NE,WO,32
A2,NE,CO,17.3
A2,NE,CO,29.7
A2,NE,RO,21.1
A2,NE,CO,16
A2,NE,RO,21.8
A2,NE,CO,44.7
A2,NE,CO,52.1
A2,NE,RO,47.3
A2,NE,RO,46.8
A2,E,RO,54.1
A2,C,RO,51.3
A2,C,RO,40
A2,C,RO,61.1
A2,C,RO,76.6
A2,NW,RO,40.5
A2,W,RO,22.9
A2,NW,RO,60.1
A2,NW,RO,40.5
A2,NW,RO,62
A2,NW,RO,45.5
A2,W,RO,50.9
A2,W,RO,36.5
A2,W,CO,56.1
A2,W,RO,55.1
A2,C,RO,49.5
A2,C,BO,50.2
A2,C,WO,47
A2,C,RO,52.3
A2,C,RO,42.9
A2,C,CO,56.8
A2,C,RO,47.5
A2,E,CO,38.9
A2,E,RO,66.6
A2,SE,BO,60.3
A2,SE,BO,45.2
A2,SE,RO,47.1
A2,SE,RO,48.8
A2,SE,CO,38.3
A2,E,CO,6
A2,S,RO,45
A2,S,WO,19
A2,S,RO,54.2
A2,S,RO,36.8
A2,S,BO,36.7
A2,S,RO,37.6
A2,S,BO,45
A2,S,RO,41.3
A2,S,RO,51.3
A2,S,RO,49.5
A2,SW,RO,32.1
A2,SW,RO,34
A2,SW,RO,52
A2,SW,RO,33.5
A2,SW,RO,50.3
A2,S,RO,52.3
A2,S,WO,5.9
A2,S,RO,38.8
A2,S,RO,38.4
A2,S,RO,32.9
A2,SE,CO,5.2
A2,SE,CO,10.7
A2,SE,BO,58.1
A2,SE,WO,7.6
A2,SE,BO,32.8
A2,SE,WO,6.7
A2,SE,WO,7.7
A2,SE,WO,8.4
A2,SE,BO,51.6
A2,SE,RO,49
A2,SE,CO,32.7
A2,SE,WO,53
A2,SE,CO,5.2
A2,E,CO,35.8
A2,E,CO,42.3
A2,NE,RO,58.1
A2,NE,RO,52.3
A3,NW,BO,42
A3,NW,RO,47.9
A3,NW,CO,23
A3,NW,CO,17.3
A3,NW,CO,27.3
A3,NW,CO,27.9
A3,NW,CO,13.5
A3,NW,CO,37.4
A3,NW,CO,22.5
A3,NW,BO,64.4
A3,NW,WO,30.3
A3,N,RO,33.7
A3,N,CO,52.1
A3,C,RO,37.2
A3,NW,CO,37.2
A3,NW,WO,22.1
A3,NW,CO,42.3
A3,W,BO,37.8
A3,W,RO,24.1
A3,W,RO,30.8
A3,W,BO,29.7
A3,W,CO,36.9
A3,W,BO,43.1
A3,C,BO,54.9
A3,W,RO,25.7
A3,W,RO,36.2
A3,SW,RO,29.7
A3,SW,BO,33.4
A3,SW,BO,50.1
A3,SW,BO,27.8
A3,C,CO,31
A3,S,RO,33.6
A3,S,CO,33
A3,S,CO,42.5
A3,SW,CO,26.1
A3,SW,RO,29.1
A3,SW,BO,37.4
A3,SW,RO,46.2
A3,SW,WO,47
A3,SW,CO,22.7
A3,SW,CO,31.5
A3,SW,BO,47
A3,SW,CO,10.8
A3,SW,BO,44.1
A3,SW,BO,61.3
A3,S,CO,43.7
A3,S,RO,59.9
A3,S,RO,53.9
A3,S,CO,42.6
A3,S,RO,45.9
A3,S,RO,23.8
A3,S,CO,43.2
A3,C,RO,39.6
A3,C,RO,34.1
A3,C,CO,46.5
A3,C,RO,29.6
A3,C,RO,42.3
A3,C,CO,29.1
A3,C,CO,33.8
A3,C,BO,58.4
A3,C,CO,23.2
A3,C,CO,14.7
A3,C,CO,12.8
A3,N,RO,23.4
A3,N,RO,28.2
A3,N,CO,43.9
A3,NE,WO,54.5
A3,NE,RO,33.2
A3,N,RO,39.2
A3,N,CO,35.4
A3,NE,WO,28.9
A3,NE,RO,47.2
A3,NE,RO,40.9
A3,NE,WO,27.1
A3,E,CO,37.8
A3,E,RO,11.4
A3,E,RO,44.9
A3,E,CO,33.4
A3,E,RO,27
A3,E,CO,31.9
A3,E,CO,22.5
A3,E,CO,18.3
A3,E,CO,20.2
A3,E,WO,31.9
A3,SE,CO,23.5
A3,SE,CO,38.2
A3,S,BO,32.7
A3,S,RO,34.8
A3,SE,CO,44.4
A3,S,RO,29.1
A3,SE,RO,33.4
A3,SE,CO,28.9
A3,SE,RO,49.3
A3,SE,RO,27.9
A3,SE,CO,45.8
A3,E,RO,47
A3,SE,CO,17.9
A3,SE,CO,31.8
A3,SE,CO,25.8
A3,SE,RO,39.5
A3,SE,RO,35.6
A3,SE,RO,16.3
A3,NE,WO,24
A3,E,CO,19.3
A3,C,BO,18
A3,SE,RO,19
A3,NE,WO,10.6
A3,S,CO,20.9
A4,NE,RO,60.6
A4,NE,CO,47.8
A4,NE,CO,40.3
A4,NE,RO,45.5
A4,N,BO,51
A4,N,CO,27.3
A4,N,CO,30
A4,N,RO,30.9
A4,NW,CO,16.8
A4,NW,RO,36.5
A4,NW,RO,44.6
A4,NW,CO,34.2
A4,NW,RO,44.4
A4,W,RO,58.2
A4,W,WO,29.7
A4,NW,RO,35.5
A4,N,RO,38.6
A4,N,CO,42
A4,N,CO,35.8
A4,N,CO,36.8
A4,N,CO,37.2
A4,N,RO,19.2
A4,N,CO,41.7
A4,N,RO,53.3
A4,C,CO,51.7
A4,NE,CO,41.2
A4,NE,CO,38.8
A4,NE,RO,45.5
A4,NE,CO,44.2
A4,NE,CO,55.2
A4,E,CO,44.8
A4,E,CO,36.4
A4,E,CO,40.1
A4,E,RO,51
A4,C,CO,37.7
A4,C,CO,40.1
A4,C,RO,46.2
A4,C,RO,48.5
A4,C,RO,43.7
A4,W,CO,42.6
A4,W,CO,34.3
