ID,plot_num,plot_type,species,DBH_cm,dist_m,aspect_degrees
1,8,matrix,ACSA,16.7,1.45,54
2,8,matrix,ACSA,15.9,7.7,24
3,8,matrix,BEAL,14.5,10.62,8
4,8,matrix,BEAL,19.1,8.71,80
5,8,matrix,BEPA,26.9,9.01,95
6,8,matrix,BEAL,15.7,8.5,98
7,8,matrix,ACSA,25.8,8.5,126
8,8,matrix,ACSA,27,9.58,133
9,8,matrix,ACSA,21.3,7.61,135
10,8,matrix,ACSA,40.2,8.49,160
11,8,matrix,ACSA,30.7,10.05,196
12,8,matrix,ACSA,22.1,10.73,222
13,8,matrix,ACSA,31.9,11.3,225
14,8,matrix,ACSA,30.4,7.82,226
15,8,matrix,ACSA,11.6,6.73,200
16,8,matrix,ACSA,24.2,4.5,207
17,8,matrix,BEAL,14.6,6.5,107
18,8,matrix,BEPA,25.3,3.85,103
19,8,matrix,OSVI,11.5,1.61,246
20,8,matrix,ACSA,22.5,5.59,259
21,8,matrix,ACSA,32.3,5.94,261
22,8,matrix,ACSA,24.8,8.24,278
23,8,matrix,ACSA,40.3,7.63,320
